180,duży
96,chłopiec
72,PUSTE
60,palec
58,człowiek
39,dom
18,domek
17,problem
16,duzy
15,dziecko
12,kot
11,książe
11,pies
11,piesek
9,kłopot
8,chłopczyk
8,głód
7,chlopiec
7,chłopak
6,kotek
6,książę
5,niewielki
4,niski
4,ptak
4,wielki
3,brzdąc
3,dzieciak
3,koń
3,pikuś
3,samochód
3,stół
3,świat
2,"ale wariat"
2,biały
2,chlopczyk
2,członek
2,człowieczek
2,dużu
2,dzban
2,"i duży"
2,karzeł
2,ksiaże
2,malec
2,malutki
2,miś
2,nieduży
2,owad
2,penis
2,rozum
2,ruch
2,tyci
2,wóz
1,?
1,"a cieszy"
1,"ale jary"
1,autobus
1,bąk
1,bękart
1,błąd
1,bobas
1,bobas]
1,bochenek
1,ból
1,brat
1,brzuch
1,bucik
1,chleb
1,chlop
1,chlpol
1,chłop[iec
1,chłopoiec
1,chuj
1,"chyba żartujecie że tu jest tyle pytań"
1,cień
1,czlowiek
1,człowiel
1,dąb
1,detal
1,dramat
1,duchem
1,duyż
1,duży]
1,dyży
1,dzlopiec
1,ed
1,fdnfdn
1,glowa
1,gość
1,grzech
1,grzyb
1,grzywka
1,guzik
1,gwint
1,kaktus
1,kciuk
1,kieliszek
1,kosz
1,kozioł
1,krab
1,krasnal
1,krasnolud
1,krok
1,król
1,ksiaze
1,Ksiażę
1,kształt
1,las
1,lord
1,maluch]
1,mędrzec
1,miły
1,mnie
1,model
1,możdżek
1,mrok
1,napoleon
1,niedurzy
1,nieważny
1,nos
1,obraz
1,ogromny
1,on
1,otwór
1,palce
1,"palec u nogi"
1,paluszek
1,pan
1,paznokieć
1,piłkarz
1,pisak
1,place
1,podarunek
1,pokój
1,polak
1,posiłek
1,powód
1,prezentr
1,probelm
1,przedmiot
1,ptaszek
1,sad
1,samochó
1,siusiak
1,słoń
1,spadek
1,sprytny
1,statek
1,stołek
1,"stóg siana"
1,strach
1,sympatyczny
1,szczur
1,święty
1,tak
1,tatuaz
1,trolol
1,wariat
1,wieeelki
1,wytrzymały
1,zab
1,zajac
1,zając
1,zamek
1,zegar
1,zły
1,zomfg
1,zwierzak
1,żal
1,żuk
